file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,castToString/1[java.lang.Object],value,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,isNumber/1[java.lang.String],str,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,isNumber/1[java.lang.String],ch,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,isNumber/1[java.lang.String],i,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,longValue/1[java.math.BigDecimal],scale,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,longValue/1[java.math.BigDecimal],decimal,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,castToChar/1[java.lang.Object],strVal,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,castToChar/1[java.lang.Object],value,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,"num/4[char,char,char,char]",c3,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,"num/4[char,char,char,char]",c0,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,"num/4[char,char,char,char]",c1,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,"num/4[char,char,char,char]",c2,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,castToLong/1[java.lang.Object],ex,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/chatgpt-java/src/main/java/com/plexpt/chatgpt/util/fastjson/TypeUtils.java,com.plexpt.chatgpt.util.fastjson.TypeUtils,castToLong/1[java.lang.Object],value2,1
